customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,Age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,Female,93,1953-10-12,67.70518513032724,senior cetizen,Executive Secretary,Health,Mass Customer,N,Yes,11
2,Eli,Bockman,Male,81,1980-12-16,40.50792485730593,mid-age adult,Administrative Officer,Financial Services,Mass Customer,N,Yes,16
3,Arlin,Dearle,Male,61,1954-01-20,67.43121252853881,senior cetizen,Recruiting Manager,Property,Mass Customer,N,Yes,15
5,Sheila-kathryn,Calton,Female,56,1977-05-13,44.10518513127854,mid-age adult,Senior Editor,,Affluent Customer,N,Yes,8
8,Rod,Inder,Male,31,1962-03-30,59.236691980593605,senior cetizen,Media Manager I,,Mass Customer,N,No,7
9,Mala,Lind,Female,97,1973-03-10,48.283267323059356,mid-age adult,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8
10,Fiorenze,Birdall,Female,49,1988-10-11,32.68326732305936,adult,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20
12,Sawyere,Flattman,Male,58,1994-07-21,26.905185131278536,adult,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8
13,Gabriele,Norcross,Male,38,1955-02-15,66.35997965182648,senior cetizen,Developer I,Financial Services,High Net Worth,N,Yes,8
14,Rayshell,Kitteman,Female,85,1983-03-25,38.236691980593605,adult,Account Executive,Financial Services,Affluent Customer,N,No,6
15,Erroll,Radage,Male,91,2000-07-13,20.92162348744292,youth,Junior Executive,Manufacturing,Mass Customer,N,No,1
16,Harlin,Parr,Male,38,1977-02-27,44.31066458333333,mid-age adult,Media Manager IV,,Mass Customer,N,Yes,18
17,Heath,Faraday,Male,57,1962-03-19,59.26682896689498,senior cetizen,Sales Associate,,Affluent Customer,N,Yes,15
18,Marjie,Neasham,Female,79,1967-07-06,53.96545910388128,mid-age adult,Professor,,Affluent Customer,N,No,11
19,Sorcha,Keyson,Female,76,2001-04-15,20.165459103881275,youth,Geological Engineer,Manufacturing,High Net Worth,N,No,1
